0,1,2,3,4,5,6,7,8,9,10,11
37,CE213,Surveying Laboratory,0,0,2,2,Compulsory,B. Tech 2nd year students of Civil Dept.,,,Dr Ajay Dashora
38,CE215,Geotechnical Engineering Laboratory,0,0,2,2,Compulsory,Btech 4th Sem.,,,Prof B. Singh
39,CE220,Hydraulics and Hydraulic Structures,3,0,0,6,Compulsory,Btech 4th Sem.,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. B. Kumar
40,CE221,Hydraulics and Hydraulic Structures Laboratory,0,0,2,2,Compulsory,Btech 4th Sem.,,,Dr. B. Kumar
41,CE222,Environmental Engineering I,3,0,0,6,Compulsory,B. Tech,E,08-05-2022(cid:10)(9:00 to 12:00),Dr. S. B. Gokhale
42,CE223,Environmental Engineering I Lab,0,0,2,2,Compulsory,B. Tech,,,Dr. S. Chakraborty
43,CE252M,Infrastrcture and Transportation Systems Planning,3,0,0,6,Minor,"B.Tech, Minor, 4th Semester",G,10-05-2022(cid:10)(9:00 to 12:00),"Dr. Sharmila RB (Post Mid semester), Dr. L. Boeing 
Singh (Pre-Mid semester)"
44,CE308,Construction Technology and Management,3,0,0,6,Compulsory,"B.Tech., 6th Sem.",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Santu Kar
45,CE309,Design of Steel Structures,3,1,0,8,Compulsory,"B.Tech., 6th",B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Amit Shelke
46,CE320,Engineering Hydrology,3,0,0,6,Compulsory,"B.Tech., 6th",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Sreeja P.
47,CE321,Hydrology Laboratory,0,0,2,2,Compulsory,"B.Tech., 6th",,,Dr. Sreeja P.
48,CE322,Transportation Engineering II,3,0,0,6,Compulsory,"B.Tech, 6th Semester",D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Mallikarjuna C.
49,CE323,Transportation Engineering II - Laboratory,0,0,2,2,Compulsory,"B.Tech, 6th Semester",,,Dr. Nipjyoti Bhardwaj
50,CE324,Mathematical Concepts and Applications in Civil Engineering,3,1,0,8,Compulsory,"B.Tech., 6th",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. B. Hazra
51,CE504,Advanced Structural Design,3,0,0,6,Compulsory,"MTech-Structural./PhD, 2nd",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. H. Sharma
52,CE510,Quality and Safety Management in Construction,3,0,0,6,Dept. Elective,"Dept. Elective for MTech-IEM., 2nd Sem. and Ph.D",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Sparsh Johari
53,CE511,Analysis and Design of Bridges,3,0,0,6,Compulsory,"MTech-Structural./PhD, 2nd B.Tech. 8th",A,04-05-2022(cid:10)(9:00 to 12:00),Dr. K. Dasgupta
54,CE514,"Plates, Shells  and Elastic Stability",3,0,0,6,Dept Elective,"MTech-Structural./PhD, 2nd",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. S. Talukdar
55,CE524,Biological Process in Environmental Engineering,3,0,0,6,Compulsory,MTech-Environ.,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. M. Jawed
56,CE525,Solids and Hazardous Waste,3,0,0,6,Compulsory,MTech-Environ.,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. A. Kalamdhad
57,CE533,Advance Foundation Engineering,3,1,0,8,Compulsory,M. Tech-Geotech. 2nd Sem,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Anil K. Mishra
58,CE534,Seminar Course,0,0,2,2,Compulsory,M. Tech-Geotech. 2nd Sem,,,Dr. Arindam Dey
59,CE544,Project Management Laboratory,0,0,3,3,Compulsory,"MTech-IEM., 2nd Sem., and Dept. Elective for Ph.D",,,Dr. Santu Kar and   Dr. Sparsh Johari
60,CE552,"Water Resources Systems Analysis, planning & Management",3,0,0,6,Dept Elective,"M. Tech, 2nd Sem",D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. A. K. Sarma
61,CE555,Principles of Water Quality and EIA,3,0,0,6,Compulsory,"M. Tech., 2nd Sem",A,04-05-2022(cid:10)(9:00 to 12:00),Dr. S. A. Kartha
62,CE556,Subsurface Hydrology,3,0,0,6,Compulsory,"M. Tech., 2nd Sem, B Tech 8th",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. R. K. Bhattacharjya
63,CE559,Watershed Management and Remote Sensing Applications,3,0,0,6,"Dept Elective for 
M.Tech
Open Elective for 
B.Tech","M. Tech., 2nd Sem, B.Tech. 8th Sem.",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. S. Dutta
64,CE583,Pavement Analysis and Design,3,0,0,6,Compulsory,"MTech-Transport 2nd Semester, PhD",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Teiborlang Lyngdoh Ryntathiang
65,CE584,Traffic Engineering,3,0,2,8,Compulsory,"MTech-Transport 2nd Semester, PhD",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Akhilesh Kumar Maurya
66,CE585,Credit Seminar,0,0,2,2,Compulsory,"MTech-Transport, 2nd Semester",,,Dr. Anjan Kumar S.
67,CE594,Geohazards Science and Engineering,3,0,0,6,Compulsory,"M.Tech. 2nd, B Tech 8th",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Archana M Nair
68,CE595,Advanced Techniques in Geosciences,2,0,2,6,Compulsory,M.Tech. 2nd,F1,09-05-2022(cid:10)(14:00 to 17:00),"Dr. Sayantan Chakrborty,   Dr. Rishikesh Bharti"
69,CE606,Earthquake Engineering,3,0,0,6,Dept. Elective,"MTech-Structural./PhD, 2nd; B.Tech. 8th",C,06-05-2022(cid:10)(9:00 to 12:00),Dr. S. Das
70,CE607,Random Vibration,3,0,0,6,Dept. Elective,"MTech-Structural./PhD, 2nd; B.Tech., 8th",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. B. Hazra
71,CE608,Reliability based Structural Design,3,0,0,6,Dept Elective,"MTech-Structural./PhD, 2nd",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Arunasis Chakraborty
72,CE610,Computational Structural Mechanics,3,0,0,6,Dept Elective,"MTech-Structural./PhD, 2nd",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. A. K. Singh
73,CE612,Advanced Concrete Technology,3,0,0,6,Compulsory,"Compulsory for MTech-IEM., 2nd Sem., IEM, Dept. Elective 
for MTech-IEM Struc. Engg., 2nd Sem., and Dept. Elective for 
Ph.D",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Bulu Pradhan
74,CE614,Financing Infrastructure Projects,3,0,0,6,Compulsory,"MTech-IEM., 2nd Sem. and Dept. Elective for Ph.D",B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. L. Boeing Singh
75,CE615,Design of Masonry Structures,3,0,0,6,Dept. Elective,"MTech-Structural./PhD, 2nd",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Hemant B. Kaushik
76,CE618,Mechanics of Unsaturated Soils,3,0,0,6,Dept Elective,"M. Tech. 2nd Sem. Geotech, WRE, B Tech 8th",E,08-05-2022(cid:10)(9:00 to 12:00),Dr. T.V. Bharat
77,CE628,Traffic Flow Modelling and Simulation,3,0,0,6,Dept. Elective,"MTech-Transport 2nd Semester, PhD",C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Nipjyoti Bhardwaj
78,CE623,"Pavement Evaluation, Rehabilitation and Maintenance",3,0,0,6,Dept. Elective,"MTech-Transport, IEM 2nd Semester, PhD",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Rajan Choudhary
79,CE624,Highway construction practise,3,0,0,6,Dept. Elective,"MTech-Transport and PhD, II Semester, B Tech 8th",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Anjan Kumar S.
80,CE642,Subsurface Invstigation and Instrumentation,3,0,0,6,Open Elective,M. Tech. 2nd Sem. Geotechnical Specialization,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Abhishek Kumar
81,CE646,Rock Mechanics,3,0,0,6,Elective,M. Tech. 2nd Sem. Geotechnical Specialization,G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Sreedeep
82,CE664,Industrial Wastewater Pollution Control,3,0,0,6,Dept Elective,"MTech-WRE., Environ, 2nd Sem",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. S. Chakraborty
83,CE665,Water Distribution and Wastewater Collection System Design,3,0,0,6,Dept Elective,"MTech-WRE., Environ, 2nd Sem",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. P.K. Ghosh
84,CH211,Industrial Chemistry,3,0,0,6,Compulsory,B. Tech.4-Sem,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Shyam Prosad Biswas
85,CH222,Applied Organic Chemistry,3,0,0,6,Compulsory,B. Tech.4-Sem,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Krishna Pada Bhabak
86,CH223,Chemical Technology Lab - I (Organic),0,0,6,6,"Compulsory, Lab  B. Tech.4-Sem",,,,Dr. Lal Mohan Kundu
87,CH224,Group Theory,3,0,0,6,Compulsory,B. Tech.4-Sem,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. G Krishnamoorthy
88,CH233,Spectroscopic Techniques in Chemistry,3,0,0,6,Compulsory,B. Tech.4-Sem,D,07-05-2022(cid:10)(9:00 to 12:00),"Dr. Manabendra Ray, Dr. Sumana Dutta"
89,CH323,Polymer Chemistry,3,0,0,6,Compulsory,B. Tech.6-Sem,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. A.S. Achalkumar
90,CH332,Computational Chemistry,3,0,0,6,Compulsory,B. Tech.6-Sem,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Ashish Kumar Gupta
91,CH334,Chemical Technology Lab - III (Physical),0,0,6,6,"Compulsory, Lab  B. Tech.6-Sem",,,,Dr. Debasis Manna
92,CH335,Application of Nanomaterials,3,0,0,6,Compulsory,B. Tech.6-Sem,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Uttam Manna
93,CH400,Computers and Chemistry,2,0,2,6,Compulsory,M. Sc.2-Sem,F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Aditya Narayan Panda
94,CH411,Inorganic Reaction Mechanism and Organometallics,3,1,0,8,Compulsory,M. Sc.2-Sem,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Biplab Mondal
95,CH418,Biological Chemistry of Metal Ions,3,0,0,6,Dept. Elective - III B. Tech.8-Sem,,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. V Manivannan
96,CH419,Consumer Chemistry,3,0,0,6,Open Elective,B. Tech.6-Sem,F1,09-05-2022(cid:10)(14:00 to 17:00),"Dr. Bhisma Kumar Patel, Dr. Parameswar Krishnan 
Iyer"
97,CH421,Organic Reactions Mechanisms,3,1,0,8,Compulsory,M. Sc.2-Sem,C,06-05-2022(cid:10)(9:00 to 12:00),"Dr. Subhas Chandra Pan, Dr. Dipankar Srimani"
98,CH425,Organic Chemistry Laboratory,0,0,9,9,"Compulsory, Lab  M. Sc.2-Sem",,,,"Dr. Abu Taleb Khan, Dr. Chandan K. Jana"
99,CH428,Drug Design and Development,3,0,0,6,Dept. Elective - IV B. Tech.8-Sem,,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Bhubaneswar Mandal
100,CH432,Chemical Dynamics and Electrochemistry,3,1,0,8,Compulsory,M. Sc.2-Sem,D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Anumita Paul
101,CH433,Applications of Spectroscopy,3,1,0,8,Compulsory,M. Sc.2-Sem,A,04-05-2022(cid:10)(9:00 to 12:00),"Dr. Chandan Mukherjee, Dr. Sunanda Chatterjee"
102,CH437,Chemical Approaches to Nanoscale Science and Technology,3,0,0,6,Dept. Elective -V,B. Tech.8-Sem,D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Kalyan Raidongia
103,CH438,Application to Statistical Mechanics to Chemistry,3,0,0,6,Dept. Elective - IV B. Tech.8-Sem,,C,06-05-2022(cid:10)(9:00 to 12:00),"Dr. Sumana Dutta , Dr. Sandip Paul"
104,CH499,Project - II,0,0,12,12,Compulsory,B. Tech.8-Sem,,,
105,CH500,Graduate Seminar,0,0,2,2,Compulsory,M. Sc.4-Sem,,,Dr. Gopal Das
106,CH600,Project,0,0,18,18,Compulsory,M. Sc.4-Sem,,,
107,CH603,Concepts of Molecular Machine,3,0,0,6,Dept. Elective,Ph. D. + M.Sc +B Tech1 or 2-Sem,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Jubaraj Bikash Baruah
108,CH613,Applied Inorganic Chemistry,3,0,0,6,Dept. Elective - I M. Sc. + PhD4-Sem,,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Kingsuk Mahata
109,CH617,Organometallics,3,0,0,6,Dept. Elective,Ph. D.1 or 2-Sem,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Animesh Das
110,CH618,Bio-inorganic Chemistry,3,0,0,6,Dept. Elective,Ph. D.1 or 2-Sem,A1,04-05-2022(cid:10)(14:00 to 17:00),"Dr. Chivukula V Sastri and Dr. Jubaraj Bikash 
Baruah"
111,CH621,Modern Reagents in Organic Synthesis,3,0,0,6,Dept. Elective - I M. Sc.4-Sem,,F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Tharmalingam Punniyamurthy
112,CH623,Supramolecular Chemistry,3,0,0,6,Dept. Elective-I,M. Sc4-Sem,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Debapratim Das
113,CH627,New Reagents for Organic Synthesis,3,0,0,6,Dept. Elective,Ph. D.1 or 2-Sem,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Anil Kumar Saikia
114,CH629,Advances in Bio-organic Chemistry,3,0,0,6,Dept. Elective,Ph. D.1 or 2-Sem,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Subhendu Sekhar Bag
115,CH636,A Fundamental Approach to Physical Chemistry,3,0,0,6,Dept. Elective,Ph. D.1 or 2-Sem,F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Kalyanasis Sahu
