0,1,2,3,4,5,6,7,8,9,10,11
157,CS223,Computer Architecture and Organization,3,0,0,6,Compulsory,B. Tech. 4th Sem.,D,07-05-2022(cid:10)(9:00 to 12:00),"Dr. J. K. Deka, Dr. J. Jose"
158,CS224,Hardware Lab,0,1,4,6,Compulsory,B. Tech. 4th Sem.,,,Dr. H. K. Kapoor
159,CS245,Database Management Systems,3,0,0,6,Compulsory,B. Tech. 4th Sem.,C,06-05-2022(cid:10)(9:00 to 12:00),"Dr. V. V. Saradhi, Dr. A. Awekar"
160,CS246,Database Management Systems Lab,0,0,4,4,Compulsory,B. Tech. 4th Sem.,,,"Dr. V. V. Saradhi, Dr. A. Awekar"
161,CS331,Programming Languages Lab,0,1,3,5,"Departmental Lab 
Elective",B. Tech. 6th Sem.,,,Dr. Benny George K.
162,CS345,Software Engineering,2,0,0,4,Compulsory,B. Tech. 6th Sem.,E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Samit Bhattacharya
163,CS346,Software Engineering Lab,0,0,3,3,Compulsory,B. Tech. 6th Sem.,,,Dr. Samit Bhattacharya
164,CS348,Implementation of Programming Languages Lab,0,2,3,7,Compulsory,B. Tech. 6th Sem.,,,Dr. Pinaki Mitra
165,CS350M,Computer Systems,3,0,0,6,Minor,B. Tech. 6th Sem. Minor,G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. T. Venkatesh
166,CS361,Machine Learning,3,0,0,6,Compulsory,B. Tech. 6th Sem.,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Arijit Sur
167,CS506,Hierarchical Memory Algorithms,3,0,0,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D.",B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Benny George K.
168,CS508,Optimization Methods,3,0,0,6,Open Elective,,F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Sukanta Bhattacharjee
169,CS528,High Performance Computing,3,0,0,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D.",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Aryabartta Sahu
170,CS529,Topics and Tools in Social Media Data Mining,2,0,2,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D., M. Tech. 2nd Sem. (Data Science)",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. S. Ranbir Singh
171,CS534,Approximation Algorithms,3,0,0,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D.",D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Sushanta Karmakar
172,CS544,Topics in Networks,3,0,0,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D.",A,04-05-2022(cid:10)(9:00 to 12:00),"Dr. Manas Khatua, Dr. Moumita Patra"
173,CS549,Computer and Network Security,3,0,0,6,"Departmental 
Elective","B. Tech. 6th Sem., B. Tech. 8th Sem., M. Tech. 2nd Sem., 
Ph.D.",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sukumar Nandi
174,CS558,Computer Systems Lab,0,1,4,6,Compulsory,"M. Tech. 2nd Sem., Ph.D.",,,"Dr. Manas Khatua, Dr. Moumita Patra"
175,CS577,C Based VLSI Design,3,0,0,6,Open Elective,"B. Tech. 6th Sem., B. Tech. 8th Sem",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Chandan Karfa
176,CS595,Data Visualization Lab,0,0,3,3,Compulsory,M. Tech. 2nd Sem. (Data Science),,,Dr. Ranbir Singh
177,DA671,Introduction to Reinforcement Learning,3,0,0,6,Elective,"Ph.D., M.Tech., B.Tech. (8th semester)",D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Arghyadip Roy
178,DA526,Image Processing with Machine Learning,3,0,0,6,Elective,Ph.D.,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Debanga Raj Neog
179,DA546,Introduction to Statistical Learning,3,0,0,6,Elective,Ph.D.,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Rhythm Grover
180,DD212,Visual Narratives,1,0,4,6,Compulsory,B.Des 4th Sem,,,Sheetal M Gokhale
181,DD213,Art and Aesthetics in Design,2,0,2,6,Compulsory,B.Des 4th Sem,,,Mriganka Madhukailya
182,DD214,Design Workshop,0,1,2,4,Compulsory,B.Des 4th Sem,,,Supradip Das
183,DD215,Cognitive Ergonomics,2,0,2,6,Compulsory,B.Des 4th Sem,,,Sougata Karmakar
184,DD220M,Introduction to Ergonomics,3,0,0,6,Minor,B. Tech 4th semester,G,10-05-2022(cid:10)(9:00 to 12:00),Urmi R Salve
185,DD303,Typography and Grid systems,0,2,4,6,Compulsory,B.Des 4th Sem,,,Abhishek Shrivastav
186,DD311,Systems approach to Design,2,0,4,8,Compulsory,B.Des 6th Sem,,,Debayan Dhar
187,DD312,Design Evaluation Methods,1,2,0,6,Compulsory,B.Des 6th Sem,,,Shakuntala Acharya
188,DD320M,Product Planning and Strategy,3,0,0,6,Minor,B. Tech 6th semester,G1,10-05-2022(cid:10)(14:00 to 17:00),Shareka Iqbal
189,DD322,Animation Fundamentals,1,1,4,8,Elective,B.Des 6th Sem,,,Manoj Majhi
190,DD324,(PD) Plastics & Composites,1,0,4,6,Elective,B.Des 6th Sem,,,Sharmistha Banerjee
191,DD325,(VC) Graphic Communication,0,1,4,6,Elective,B.Des 6th Sem,,,Manoj Majhi
192,DD326,(TD) Introduction to Automobile Design,0,1,4,6,Elective,B.Des 6th Sem,,,Abhishek Singh
193,DD398,BDes Project II,0,1,8,10,Compulsory,B.Des 6th Sem,,,Shakuntala Acharya
194,DD411,Design and Entrepreneurship,1,3,0,8,Compulsory,B.Des 8th Sem,,,Pratul C Kalita
195,DD499,BDes Project IV,3,0,0,6,Compulsory,B.Des 8th Sem,,,Udaya Kumar
196,DD505,Form Studies,0,2,3,7,Compulsory,M.Des 2nd Sem,,,Supradip Das
197,DD506,Graphic Design,0,1,6,8,Compulsory,M.Des 2nd Sem,,,Utpal Barua
198,DD507,Design Project,0,1,6,8,Compulsory,M.Des 2nd Sem,,,Shakuntala Acharya
199,DD509,Interaction Design,2,1,0,6,Elective,M.Des 2nd Sem,,,Keyur Sorathia
200,DD514,Collaborative Design Methods in New Product Development,1,2,0,6,Elective,"M.Des 2nd Sem,B.Des 6th Sem",,,Pankaj Upadhyay
201,DD516,Digital Human Modelling and Simulation in Product Design,2,0,2,6,Elective,"M.Des 2nd Sem,B.Des 6th Sem",,,Sougata Karmakar
202,DD517,Automobile Design,1,1,4,8,Elective,"M.Des 2nd Sem,M.Des 4th Sem",,,Abhishek Singh
203,DD524,Graphic Design Studio,0,1,4,6,Elective,M.Des 4th Sem and B.Des 8th sem,,,Udaya Kumar
204,DD 532,Motion Graphics,2,0,2,6,Elective,M.Des 4th Sem and B.Des 8th sem,,,Manoj Majhi
205,DD605,Thesis Project (Phase II),0,6,12,24,Compulsory,M.Des 4th Sem,,,
206,DD 606,Product Detailing,2,0,4,8,Elective,"M.Des 4th Sem,B.Des 6th Sem and 8th sem",,,Pankaj Upadhyay
207,DD709,Design-based Project,0,0,6,6,,PhD,,,Sharmistha Banerjee
208,DD710,Research-based Project,0,0,6,6,,PhD,,,Shakuntala Acharya
209,DM503,Hazards monitoring and prediction,3,0,0,6,Compulsory,"M.S. ( R)/ M.Tech 2nd Semester, PhD",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sandip Das and Dr. Arindam Dey
210,DM504,Research methodology and field visit,2,0,2,6,Compulsory,"M.S. ( R)/ M.Tech 2nd Semester, PhD",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Budhaditya Hazra
211,DM514,Financing for Disaster Risk Reduction (DRR),3,0,0,6,Elective,"M.S. ( R)/ M.Tech 2nd Semester, PhD",A1,04-05-2022(cid:10)(14:00 to 17:00),Prof. Rajshree Bedamatta
212,DM515,Rehabilitation and Retrofitting of RC Structures,3,0,0,6,Elective,"M.S. ( R)/ M.Tech 2nd Semester, PhD",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Arunasis Chakraborty
213,EE206,Analog Circuits,3,1,0,8,Compulsory,B Tech (ECE and EEE) Fourth Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Roy Paily Palathinkal
214,EE207,Analog Circuits Laboratory,0,0,3,3,Compulsory,B Tech (ECE and EEE) Fourth Semester,,,Dr. Mahima Arrawattia
215,EE213M,Digital Circuits,3,0,0,6,Minor,B Tech (Minor ECE) Fourth Semester,G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Manish Bhatt
216,EE230,Probability and Random Processes,3,1,0,8,Compulsory,B Tech (ECE and EEE) Fourth Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Ribhu
217,EE250,Control Systems,3,1,0,8,Compulsory,B Tech (ECE and EEE) Fourth Semester,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Indrani Kar
218,EE252,Measurement and Instrumentation,3,0,0,6,Compulsory,B Tech (ECE and EEE) Fourth Semester,F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Rishikesh Dilip Kulkarni
219,EE253,Instrumentation Laboratory,0,0,3,3,Compulsory,B Tech (ECE and EEE) Fourth Semester,,,Dr. Harshal B Nemade
220,EE313,Microelectronics Laboratory,0,0,3,3,Compulsory,B Tech (ECE) Sixth Semester,,,Dr. Arun Tej Mallajosyula
221,EE314,Flexible and Printable Electronics,3,0,0,6,Dept Elective,EEE + ECE,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Arun Tej Mallajosyula
222,EE322M,Signal Processing,3,0,0,6,Minor,B Tech (Minor ECE) Sixth Semester,G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Kuntal Deka
223,EE332,Digital Communication,3,0,0,6,Compulsory,B Tech (ECE) Sixth Semester,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. A Rajesh
224,EE333,Communication and DSP Laboratory,0,0,3,3,Compulsory,B Tech (ECE) Sixth Semester,,,Dr. Ribhu
225,EE334,Computer networks,3,0,0,6,Compulsory,B Tech (ECE) Sixth Semester,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Sudarshan Mukherjee
226,EE335,Information Theory & Coding,3,0,0,6,Dept Elective,EEE + ECE,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Arun B Aloshious
227,EE352,Advanced Control System,3,0,0,6,Dept Elective,EEE + ECE,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Somanath Majhi
228,EE360,Power Electronics,3,0,0,6,Compulsory,B Tech (EEE) Sixth Semester,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. A. Ravidranath
229,EE370,Electrical Power Systems,3,0,0,6,Compulsory,B Tech (EEE) Sixth Semester,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Chandan Kumar
230,EE371,Advanced Electrical Engg Lab,0,0,3,3,Compulsory,B Tech (EEE) Sixth Semester,,,Dr. A. Ravidranath
231,EE381,Electrical Machines Lab,0,0,3,3,Compulsory,B Tech (EEE) Sixth Semester,,,Dr. Praveen Kumar
232,EE390,Data structure and algorithms,2,0,2,6,Compulsory,B Tech (ECE and EEE) Sixth Semester,E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Anirban Dasgupta
233,EE399,BTP II (New Curriculum),0,0,3,3,Compulsory,B Tech (ECE and EEE) Eighth Semester,,,Secretery DUPC
234,EE499,BTP Phase - II,0,0,6,6,Compulsory,B Tech (ECE and EEE) Eighth Semester,,,Secretery DUPC
235,EE512,Analog IC Design,3,0,0,6,Compulsory,M Tech (VLSI) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Tanmay Dutta
236,EE515,VLSI System Design,3,0,0,6,Compulsory,M Tech (VLSI) Second Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Gaurav Trivedi
237,EE516,VLSI DSP,3,0,0,6,Compulsory,M Tech (VLSI) Second Semester,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Shaik Rafi Ahamed
238,EE517,VLSI Lab-II,0,0,4,4,Compulsory,M Tech (VLSI) Second Semester,,,Dr. Tanmay Dutta
239,EE518,VLSI Lab-III,0,0,4,4,Compulsory,M Tech (VLSI) Second Semester,,,Dr. Gaurav Trivedi
240,EE521,Digital Signal Processing Lab,0,0,3,3,Compulsory,M Tech (SPML) Second Semester,,,Dr. Manoj B R
241,EE522,Statistical Signal Processing,3,0,0,6,Compulsory,M Tech (SPML) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. P K Bora
242,EE525,Advanced Topics in Machine Learning,3,0,0,6,Compulsory,M Tech (SPML) Second Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Prithwijit Guha
243,EE526,Machine Learning,3,0,0,6,Compulsory,M Tech (DS) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Suresh Sundaram
244,EE527,Machine Learning Laboratory,0,0,3,3,Compulsory,M Tech (DS) Second Semester,,,Dr. Prithwijit Guha
245,EE533,Wireless Communications,3,0,0,6,Compulsory,M Tech (CE) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Salil Kashyap
246,EE534,Communication System Design Lab,0,0,3,3,Compulsory,M Tech (CE) Second Semester,,,Dr. Sonali Chauhan
247,EE535,Data Communication Network,3,0,0,6,Compulsory,M Tech (CE) Second Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sonali Chauhan
248,EE541,"Antennas, RF and Microwave Laboratory",0,0,3,3,Compulsory,M Tech (RFP) Second Semester,,,Dr. K Rakesh Singh
249,EE543,Computational Electromagnetics,3,0,0,6,Compulsory,M Tech (RFP) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Ratnajit Bhattarjee
250,EE544,Photonics Devices and Circuits,3,0,0,6,Compulsory,M Tech (RFP) Second Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Debabrata Sikdar
251,EE553,Optimal Control,3,0,0,6,Compulsory,M Tech (SCA) Second Semester,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Chitralekha Mahanta
252,EE554,Nonlinear Systems and Control,3,0,0,6,Compulsory,M Tech (SCA) Second Semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Srinivasan Krishnaswamy
253,EE555,Automation Laboratory,0,0,3,3,Compulsory,M Tech (SCA) Second Semester,,,Dr. Hanumant Singh Shekhawat
254,EE562,Power Electronics Applications in Power Systems,3,0,0,6,Compulsory,M Tech (PE) Second Semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Sanjib Ganguly
255,EE572,Power Engineering Laboratory,0,0,3,3,Compulsory,M Tech (PE) Second Semester,,,Dr. Sanjib Ganguly
256,EE580,Electrical Machines and Drive Systems,3,0,0,6,Compulsory,M Tech (PE) Second Semester,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Praveen Kumar
257,EE592,Detection and Estimation Theory,3,0,0,6,Compulsory,M Tech (CE) Second Semester,C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Kalpana Dhaka
258,EE595H,Stochastic Models,3,0,0,3,Compulsory,M Tech (DS) Second Semester,B,"01-03-2022
(9:00 to 11:30)",Dr. Tony Jacob
259,EE596H,Optimization Techniques,3,0,0,3,Compulsory,M Tech (DS) Second Semester,B,"05-05-2022
(9:00 to 11:30)",Dr. Tony Jacob
260,EE611,Organic Semiconductor Devices,3,0,0,6,OpenElective,Open Elective,G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Ravindra Kumar Jha
261,EE613,Radio Frequency Integrated Circuits,3,0,0,6,Dept Elective,Btech Eighth Semester/MTech Second Semester/ PhD,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Mahima Arrawattia
262,EE621,Computer Vision,3,0,0,6,Dept Elective,Btech Eighth Semester/MTech Second Semester/ PhD,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Manas Kamal Bhuyan
263,EE622,Biomedical Signal Processing,3,0,0,6,Dept Elective,Btech Eighth Semester/MTech Second Semester/ PhD,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Samarendra Dandapat
264,EE627,Biometrics,3,0,0,6,Dept Elective,SPML/CE,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Kanan Karthik
265,EE633,Error Control Codes,3,0,0,6,Dept Elective,SPML/CE,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Smarajit Das
266,EE634,MIMO Wireless Communications: Fundamentals and Advances,3,0,0,6,Dept Elective,VLSI/RFP,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. K Rakesh Singh
267,EE643,Silicon Photonics,3,0,0,6,Dept Elective,VLSI/RFP,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Ramesh Kumar Sonkar
268,EE655,Mathematical Techniques for Control and Signal Processing,3,0,0,6,Dept Elective,SCA/SPML,E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Hanumant Singh Shekhawat
269,EE656,Robust Control,3,0,0,6,Dept Elective,SCA/PE,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Chayan Bhawal
270,EE661,Power Electronics for Renewable Energy Systems,3,0,0,6,Dept Elective,PE/SCA,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Shabri Nath
271,EE674,Synchrophasor Technology,3,0,0,6,Dept Elective,PE/SCA,B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Pravin Tripathi
272,EE 694,Introduction to Parallel computing,3,0,0,6,Dept Elective,MTech: RFP/VLSI BTech (8th Semester) : ECE/EEE,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr.Gaurav Trivedi
273,EE665,Power Electronic Systems for Electric Vehicles,3,0,0,6,Dept Elective,PE/SCA,D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Chandan Kumar
274,EE699,MTP Phase II,0,0,24,24,Compulsory,ALL M. Tech Fourth Semester,,,DPPC
275,EN671,Solar Energy Conversion Technology,3,0,0,6,Open Elective,"B.Tech (eight semester), MSR (second semester), MTech 
(second semester), PhD (First and second semester),",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Pankaj Kalita
276,EN674,"Energy Economics, Planning and Management",3,0,0,6,"Compulsory/Dept. 
Elective","MSR (second semester), MTech (second semester), PhD 
(First and second semester),",,,Dr. Pankaj Kalita
277,EN697,Project 1,0,0,12,12,Compulsory,MSR (second semester),,,"DPPC, Secretary"
278,EN699,Project 3,0,0,24,24,Compulsory,MSR (Fourth semester),,,Respective Faculty members
279,HS107,Problems of Philosophy,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. V. Prabhu
280,HS113,Cognitive Psychology,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Naveen Kashyap
281,HS119,Sociology of Science,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Sambit Mallick
282,HS123,Game Theory and Economics,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Debarshi Das
283,HS125,Introductory Macroeconomics,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Agnirup Sarkar
284,HS134,Introduction to Archaeology,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Sukanya Sharma
285,HS135,Topics in Bilingualism,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Bidisha Som
286,HS136,Introduction to Indian Constitution and Political Processes,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Mithilesh Kumar Jha
287,HS138,Psychology of Well Being,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Dilwar Hussain
288,HS139,The Short Story: Theory and Perspectives,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Kiran Keshavamurthy
289,HS148,Development and its Discontents,3,0,0,6,HSS Elective,"Btech, 4th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Vasundhara Jairath
290,HS217,Social History of Technology in Modern India,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. John Thomas
291,HS218,Ecology and Society,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Ngamjahao Kipgen
292,HS221,Management of Organization Behaviour,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Nachiketa Tripathi
293,HS222,Philosophy of Science,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Abhishek Kashyap
294,HS229,Environmental Economics,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Mrinal Kanti Dutta
295,HS232M,Linguistic Analysis,3,0,0,6,Minor,"Minor, 4th semester",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Shakuntala Mahanta
296,HS233,History of Contemporary India,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Arupjyoti Saikia
297,HS235,Writing Systems of the World,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Priyankoo Sarmah
298,HS239,Economics of Uncertainty and Information,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Bodhisattva Sengupta
299,HS240,Literature and Science Writing,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Debapriya Basu
300,HS242,Transboundary Waters: Conflict and Cooperation,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Anamika Barua
301,HS244,Indian Business History,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Vipul Dutta
302,HS245,Social Choice and Welfare,3,0,0,6,HSS Elective,"Btech, 8th semester",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Amarjyoti Mahanta
303,HS320M,Literature and Film: The Word and the Image,3,0,0,6,Minor,"Minor, 6th semester",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Rohini Mokashi Punekar
304,HS503,Sociology of Development,3,1,0,8,Compulsory,"MA, 2nd semester",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Sambit Mallick & Dr. Vasundhara Jairath
305,HS517,Comparative Politics of Developing Countries,3,1,0,8,Compulsory,"MA, 2nd semester",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Pahi Saikia
306,HS523,Economic Development: Theory and Practice,3,1,0,8,Compulsory,"MA, 2nd semester",C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Rajshree Bedamatta
307,HS524,Qualitative Research Methods in Social Sciences,3,1,0,8,Compulsory,"MA, 2nd semester",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Prasad Khanolkar
308,HS525,India's Development: Issues and Debates,3,1,0,8,Compulsory,"MA, 2nd semester",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Daksha Parmar & Dr. Vasundhara Jairath
309,HS604,Development and Finance,3,0,0,6,Dept. Elective,"MA, 4th semester",A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Saundarjya Borbora
310,HS606,Sociology of Gender,3,0,0,6,Dept. Elective,"MA, 4th semester",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sawmya Ray
311,HS699,Dissertation,0,0,0,32,Compulsory,"MA, 4th semester",,,
312,HS707,Invisible Exchanges,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Debapriya Basu & Dr. Rohini Mokashi Punekar
313,HS712,Introduction to Western Philosophy,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Abhishek Kashyap
314,HS714,Understanding Organizational Behaviour: Theory and Research,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Nachiketa Tripathi
315,HS716,Research Methodology in Psychology,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",B1,05-05-2022(cid:10)(14:00 to 17:00),Naveen Kashyap
316,HS719,Philosophy of Religion,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. V Prabhu
317,HS724,History in Indian Vernaculars,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",E,08-05-2022(cid:10)(9:00 to 12:00),Dr. Arupjyoti Saikia
318,HS727,Issues in Historical Research,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. John Thomas
319,HS731,"Heritage, Identity and Archaeology",3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Sukanya Sharma
320,HS732,Issues in Cultural Studies,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sukanya Sharma
321,HS733,Issues in Phonological Theory,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",D1,07-05-2022(cid:10)(14:00 to 17:00),Dr. Shakuntala Mahanta
322,HS734,Perspectives in Linguistics,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Bidisha Som
323,HS735,Experimental Phonology,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. Shakuntala Mahanta
324,HS740,Issues in Applied Ethics: a multicultural approach,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",E1,08-05-2022(cid:10)(14:00 to 17:00),Dr. V Prabhu
325,HS749,Issues in Tone Languages,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Priyankoo Sarmah
326,HS753,Topics in International Relations,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",,,Dr. Pahi Saikia
327,HS763,Research Methods in Political Science,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",,,Dr. Mithilesh Kumar Jha & Dr. Pahi Saikia
328,HS771,Key Texts in Modern Political Thought,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",,,Dr. Mithilesh Kumar Jha
329,HS768,Bilingualism: language and cognition,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Bidisha Som
330,HS780,Understanding Social Movements,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Vasundhara Jairath
331,HS781,Approaches to Diplomatic and Military History,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Vipul Dutta
332,HS784,Acoustic Analyses of Tone Languages,3,0,0,6,Dept. Elective,"PhD, August 2020, January 2021",B1,05-05-2022(cid:10)(14:00 to 17:00),Dr. Priyankoo Sarmah
