Roll no,Division,Tutorial,Lab
220103099,I,T19,L3
220103100,I,T19,L3
220103101,I,T19,L3
220103102,I,T19,L3
220103103,I,T19,L3
220103104,I,T19,L3
220103105,I,T19,L3
220103106,I,T19,L3
220103107,I,T19,L3
220103108,I,T19,L3
220103109,I,T19,L3
220103110,I,T19,L3
220103111,I,T19,L3
220103112,I,T20,L3
220103113,I,T20,L3
220103114,I,T20,L3
220103115,I,T20,L3
220103116,I,T20,L3
220103117,I,T20,L3
220103118,I,T20,L3
220103119,I,T20,L3
220103120,I,T20,L3
220103121,I,T20,L3
220102104,II,T19,L3
220102105,II,T19,L3
220108001,II,T1,L3
220108002,II,T1,L3
220108003,II,T1,L3
220108004,II,T1,L3
220108005,II,T2,L3
220108006,II,T2,L3
220108007,II,T2,L3
220108008,II,T2,L3
220108009,II,T2,L3
220108010,II,T3,L3
220108011,II,T3,L3
220108012,II,T3,L3
220108013,II,T3,L3
220108014,II,T4,L3
220108015,II,T4,L3
220108016,II,T4,L3
220108017,II,T4,L3
220108018,II,T5,L3
220108019,II,T5,L3
220108020,II,T5,L3
220108021,II,T5,L3
220108022,II,T6,L3
220108023,II,T6,L3
220108024,II,T6,L3
220108025,II,T6,L3
220108026,II,T6,L3
220108027,II,T7,L3
220108028,II,T7,L3
220108029,II,T7,L3
220108030,II,T7,L3
220108031,II,T8,L3
220108032,II,T8,L3
220108033,II,T8,L3
220108034,II,T8,L3
220108035,II,T8,L3
220108036,II,T9,L3
220108037,II,T9,L3
220108038,II,T9,L3
220108039,II,T9,L3
220108040,II,T9,L3
220108042,II,T10,L3
220108043,II,T10,L3
220108044,II,T10,L3
220108046,II,T11,L3
220108047,II,T11,L3
220108048,II,T11,L3
220108049,II,T11,L3
220108050,II,T11,L3
220108051,II,T12,L3
220108052,II,T12,L3
220102001,II,T1,L3
220102002,II,T1,L4
220102003,II,T1,L4
220102004,II,T1,L4
220102005,II,T2,L4
220102006,II,T2,L4
220102007,II,T2,L4
220102008,II,T2,L4
220102009,II,T3,L4
220102010,II,T3,L4
220102011,II,T3,L4
220102012,II,T3,L4
220102013,II,T3,L4
220102014,II,T4,L4
220102015,II,T4,L4
220102016,II,T4,L4
220102017,II,T4,L4
220102018,II,T5,L4
220102019,II,T5,L4
220102020,II,T5,L4
220102021,II,T5,L4
220102022,II,T6,L4
220102023,II,T6,L4
220102024,II,T6,L4
220102025,II,T6,L4
220102026,II,T6,L4
220102027,II,T7,L4
220102028,II,T7,L4
