Roll no,Division,Tutorial,Lab,Location
220122060,IV,T13,L10,1G1
220122061,IV,T14,L10,1G2
220122062,IV,T14,L10,1G2
220122063,IV,T14,L10,1G2
220122064,IV,T14,L10,1G2
220122065,IV,T14,L10,1G2
220122066,IV,T15,L10,4210
220150001,IV,T1,L10,5G1
220150002,IV,T1,L10,5G1
220150003,IV,T1,L10,5G1
220150004,IV,T1,L10,5G1
220150005,IV,T2,L10,2101
220150006,IV,T2,L10,2101
220150008,IV,T2,L10,2101
220150009,IV,T3,L10,2203
220150010,IV,T3,L10,2203
220150011,IV,T3,L10,2203
220150012,IV,T3,L10,2203
220150013,IV,T4,L10,2204
220150014,IV,T4,L10,2204
220150015,IV,T4,L10,2204
220150016,IV,T4,L10,2204
220150017,IV,T5,L10,3102
220150018,IV,T5,L10,3102
220150019,IV,T5,L10,3102
220150020,IV,T5,L10,3102
220150021,IV,T6,L10,3202
220150022,IV,T6,L10,3202
220150023,IV,T6,L10,3202
220150024,IV,T6,L10,3202
220150025,IV,T6,L10,3202
220150027,IV,T7,L10,4001
220150028,IV,T7,L10,4001
220150029,IV,T7,L10,4001
220150030,IV,T7,L10,4001
220205001,IV,T21,L10,L4
220205002,IV,T21,L10,L4
220205003,IV,T21,L10,L4
220205004,IV,T21,L10,L4
220205005,IV,T21,L10,L4
220205006,IV,T21,L10,L4
220205007,IV,T21,L10,L4
220205008,IV,T21,L10,L4
220205009,IV,T21,L10,L4
220205010,IV,T21,L10,L4
220205011,IV,T21,L10,L4
220205012,IV,T21,L10,L4
220205013,IV,T21,L10,L4
220205014,IV,T21,L10,L4
220205015,IV,T21,L10,L4
220205016,IV,T21,L10,L4
220205017,IV,T21,L10,L4
220205018,IV,T21,L10,L4
220205019,IV,T21,L10,L4
220205020,IV,T21,L10,L4
220205021,IV,T21,L10,L4
220205022,IV,T21,L10,L4
220205023,IV,T21,L10,L4
220205024,IV,T21,L10,L4
220205025,IV,T21,L10,L4
220205026,IV,T21,L10,L4
220205027,IV,T21,L10,L4
220205028,IV,T21,L10,L4
220205030,IV,T21,L10,L4
220205031,IV,T21,L10,L4
220205032,IV,T21,L10,L4
220205033,IV,T21,L10,L4
220205034,IV,T21,L10,L4
220205035,IV,T21,L10,L4
220205036,IV,T21,L10,L4
220205037,IV,T21,L10,L4
220205038,IV,T21,L10,L4
220205039,IV,T21,L10,L4
220205040,IV,T21,L10,L4
220205041,IV,T21,L10,L4
220205042,IV,T21,L10,L4
220205043,IV,T21,L10,L4
220205044,IV,T21,L10,L4
220205045,IV,T21,L10,L4
220205046,IV,T21,L10,L4
220205047,IV,T21,L10,L4
220205048,IV,T21,L10,L4
220205049,IV,T21,L10,L4
220205050,IV,T21,L10,L4
220205051,IV,T21,L10,L4
220205052,IV,T21,L10,L4
220205053,IV,T21,L10,L4
220205054,IV,T21,L10,L4
220205055,IV,T21,L10,L4
