Roll no,Division,Tutorial,Lab,Location
220104095,I,T18,L1,L1
220104096,I,T18,L1,L1
220104097,I,T18,L1,L1
220104098,I,T19,L1,L2
220104099,I,T19,L1,L2
220104100,I,T19,L1,L2
220104101,I,T19,L1,L2
220104102,I,T19,L1,L2
220104103,I,T19,L1,L2
220104104,I,T19,L2,L2
220104106,I,T19,L2,L2
220104107,I,T19,L2,L2
220104108,I,T19,L2,L2
220104109,I,T19,L2,L2
220104110,I,T19,L2,L2
220104111,I,T19,L2,L2
220104112,I,T20,L2,L3
220104113,I,T20,L2,L3
220104114,I,T20,L2,L3
220104115,I,T20,L2,L3
220104116,I,T20,L2,L3
220103001,I,T1,L2,5G1
220103002,I,T1,L2,5G1
220103003,I,T1,L2,5G1
220103004,I,T1,L2,5G1
220103005,I,T1,L2,5G1
220103006,I,T2,L2,2101
220103007,I,T2,L2,2101
220103008,I,T2,L2,2101
220103009,I,T2,L2,2101
220103010,I,T3,L2,2203
220103011,I,T3,L2,2203
220103012,I,T3,L2,2203
220103013,I,T3,L2,2203
220103014,I,T4,L2,2204
220103015,I,T4,L2,2204
220103016,I,T4,L2,2204
220103017,I,T4,L2,2204
220103018,I,T5,L2,3102
220103019,I,T5,L2,3102
220103020,I,T5,L2,3102
220103021,I,T5,L2,3102
220103022,I,T6,L2,3202
220103023,I,T6,L2,3202
220103024,I,T6,L2,3202
220103025,I,T6,L2,3202
220103026,I,T6,L2,3202
220103028,I,T7,L2,4001
220103029,I,T7,L2,4001
220103030,I,T7,L2,4001
220103031,I,T8,L2,4005
220103032,I,T8,L2,4005
220103033,I,T8,L2,4005
220103034,I,T8,L2,4005
220103035,I,T8,L2,4005
220103036,I,T9,L2,4006
220103037,I,T9,L2,4006
220103038,I,T9,L2,4006
220103039,I,T9,L2,4006
220103040,I,T9,L2,4006
220103041,I,T10,L2,5201
220103042,I,T10,L2,5201
220103043,I,T10,L2,5201
220103044,I,T10,L2,5201
220103045,I,T10,L2,5201
220103046,I,T10,L2,5201
220103047,I,T11,L2,1205
220103048,I,T11,L2,1205
220103049,I,T11,L2,1205
220103050,I,T11,L2,1205
220103051,I,T11,L2,1205
220103052,I,T12,L2,5206
220103053,I,T12,L2,5206
220103054,I,T12,L2,5206
220103055,I,T12,L2,5206
220103056,I,T12,L2,5206
220103057,I,T13,L2,1G1
220103058,I,T13,L2,1G1
220103059,I,T13,L2,1G1
220103060,I,T13,L2,1G1
220103061,I,T13,L2,1G1
220103062,I,T14,L2,1G2
220103063,I,T14,L2,1G2
220103064,I,T14,L2,1G2
220103066,I,T14,L2,1G2
220103067,I,T15,L2,4210
220103068,I,T15,L2,4210
220103069,I,T15,L2,4210
220103070,I,T15,L2,4210
220103071,I,T15,L2,4210
220103072,I,T15,L2,4210
220103073,I,T16,L2,4G1
220103074,I,T16,L2,4G1
220103075,I,T16,L2,4G1
220103076,I,T16,L2,4G1
220103077,I,T16,L2,4G1
220103078,I,T16,L2,4G1
220103079,I,T16,L2,4G1
220103080,I,T16,L2,4G1
220103081,I,T17,L2,4G2
220103082,I,T17,L2,4G2
220103083,I,T17,L2,4G2
220103084,I,T17,L2,4G2
220103085,I,T17,L2,4G2
220103086,I,T17,L2,4G2
220103087,I,T17,L2,4G2
220103088,I,T17,L2,4G2
220103089,I,T18,L2,L1
220103090,I,T18,L2,L1
220151001,I,T1,L3,5G1
