code,name,slot,venue,prof,prof_id
CL 598,Petroleum Laboratory,--,,"Abhijit Kakati, Pugazhenthi G.","abhijitkakati,pugal"
CL 514,Fundamentals of Material Science & Engineering,F1,,Venkatesh R. Prasanna,rprasanna
CL 506,Smart Materials,A1,,Gooh Pattader Partho Sarathi,psgp
CL 505,Petroleum Production Engineering,F1,,Abhijit Kakati,abhijitkakati
CL 504,Advanced reaction Engineering,C1,,Vairakannu Prabu,v.prabu
CL 503,Advanced Thermodynamics,D1,,Omkar S. Deshmukh,o.deshmukh
CL 499,Project II,--,,DUPC Chemical,dupc.chemical
CL 399,General Learning of Chemical Engineering Research Project - II,--,,DPPC Chemical,dppcchemical
CL 315H,Laboratory 6: Process Control,--,,"Prabirkumar Saha, Tapas K Mandal","p.saha,tapasche"
CL 314H,Laboratory 5: Reaction Engineering,--,,"Animes Kumar Golder, Bishnupada Mandal","animes,bpmandal"
CL 313,Laboratory 4: Mass Transfer,--,,"Chandan Das, Vairakannu Prabu","cdas,v.prabu"
CL 312,Computer Aided Process Equipmen Design,--,,"Anandalakshmi R., Raghvendra Gupta, Tamal Banerjee","anandalakshmi,guptar,tamalb"
CL 306,Process Engineering & Economics,D1,,Sumit Kumar,s_kumar
CL 305,Transport Phenomena,A1,,Kishore Nanda,nkishore
CL 304,Chemical Process Technology,C1,,Uppaluri Ramgopal V. S.,ramgopalu
CL 211H,Laboratory 2: Heat Transfer,--,,"Animes Kumar Golder, Bishnupada Mandal","animes,bpmandal"
CL 210H,Laboratory 1: Fluid Mechanics,--,,"Omkar S. Deshmukh, Venkatesh R. Prasanna","o.deshmukh,rprasanna"
CL 209,Process Equipment Design I,E,,Mihir Kumar Purkait,mihir
CL 208,Chemical Reaction Engineering I,C,,Peela Nageswara Rao,peelanr
CL 207,Computer Aided Numerical Methods,D,,Anandalakshmi R.,anandalakshmi
CL 206,Solid Fluid Operations,B,,Subrata K Majumder,skmaju
CL 205,Mass Transfer Operations I,A,,Kaustubha Mohanty,kmohanty
CH 644,Applied Quantum Chemistry,F,,Manabendra Sarma,msarma
CH 639,Principles and Applications of Molecular Fluorescence,C,,"Kalyanasis Sahu, G Krishnamoorthy","ksahu,gkrishna"
CH 631,Advanced Quantum Chemistry,D,,Ashish Kumar Gupta,gupta
CH 629,Advances in Bio-organic Chemistry,F1,,Bhubaneswar Mandal,bmandal
CH 627,New Reagents for Organic Synthesis,E1,,Pavan K Kancharla,pavankancharla
CH 623,Supramolecular Chemistry,B,,Debapratim Das,ddas
CH 621,Modern Reagents in Organic Synthesis,F,,Tharmalingam Punniyamurthy,tpunni
CH 618,Bio-inorganic Chemistry,G1,,Biplab Mondal,biplab
CH 617,Organometallics,B1,,Animesh Das,adas
CH 613,Applied Inorganic Chemistry,A,,Kingsuk Mahata,kingsuk
CH 600,Project,--,,DUPC Chemistry,dupcchemistry
CH 500,Graduate Seminar,--,,Lal Mohan Kundu,lmkundu
CH 499,Project - II,--,,DUPC Chemistry,dupcchemistry
CH 438,Application to Statistical Mechanics to Chemistry,C,,Sumana Dutta,sumana
CH 437,Chemical Approaches to Nanoscale Science and Technology,D,,"Arun Chattopadhyay, Uttam Manna","arun,umanna"
CH 433,Applications of Spectroscopy,B,,"Sunanda Chatterjee, Chandan Mukherjee","sunanda.c,cmukherjee"
CH 432,Chemical Dynamics and Electrochemistry,A,,Anumita Paul,anumita
CH 428,Drug Design and Development,B,,Subhendu Sekhar Bag,ssbag75
CH 425,Organic Chemistry Laboratory,--,,"Abu Taleb Khan, Chandan K. Jana","atk,ckjana"
CH 421,Organic Reactions Mechanisms,D,,Dipankar Srimani,dsrimani
CH 419,Consumer Chemistry,F1,,"Bhisma Kumar Patel, Parameswar Krishnan Iyer","patel,pki"
CH 418,Biological Chemistry of Metal Ions,A,,Chivukula V Sastri,sastricv
CH 411,Inorganic Reaction Mechanism and Organometallics,C,,"Manabendra Ray, Gopal Das","manabray,gdas"
CH 400,Computers and Chemistry,F,,Sandip Paul,sandipp
CH 335,Application of Nanomaterials,C1,,Mohd. Qureshi,mq
CH 334,Chemical Technology Lab - III (Physical),--,,"Debasis Manna, Kalyan Raidongia","dmanna,k.raidongia"
CH 332,Computational Chemistry,B1,,Aditya Narayan Panda,anp
CH 323,Polymer Chemistry,D1,,A. S. Achalkumar,achalkumar
CH 233,Spectroscopic Techniques in Chemistry,A,,Jubaraj Bikash Baruah,juba
CH 224,Group Theory,B,,V Manivannan,mani
CH 223,Chemical Technology Lab - I (Organic),--,,Anil Kumar Saikia,asaikia
CH 222,Applied Organic Chemistry,D,,Krishna Pada Bhabak,kbhabak
CH 211,Industrial Chemistry,E,,Shyam Prosad Biswas,sbiswas
CH 002,Preparatory Chemistry II,--,,"Akshai Kumar A. S, Subhas Chandra Pan","akshaikumar,span"
CE 699,Project and Thesis Phase II,--,,Abhishek Verma,abhi.verma
CE 697,Project and Dissertation,--,,Abhishek Verma,abhi.verma
CE 695,M Tech Project II,--,,Abhishek Verma,abhi.verma
CE 693,Project and Thesis Phase II,--,,Abhishek Verma,abhi.verma
CE 691,M Tech Project II,--,,Abhishek Verma,abhi.verma
CE 662,Environmental Systems Engineering Laboratory,A,,Mohammad Jawed,jawed
CE 661,Air Quality Modeling,F,,Sharad Gokhale,sharadbg
CE 648,Applied Soil Mechanics,A1,,Sreedeep S.,srees
CE 646,Rock Mechanics,G1,,Vivek Padmanabha,vivekp
CE 643,Earthquake Geotechnical Engineering,F1,,Abhishek Kumar,abhiak
CE 641,Reinforced Soil Structures,D1,,Arindam Dey,arindam.dey
CE 628,Traffic Flow Modelling and Simulation,F1,,C. Mallikarjuna,c.mallikarjuna
CE 623,"Pavement Evaluation, Rehabilitation and Maintenance",D1,,Rajan Choudhary,rajandce
