code,name,slot,venue,prof,prof_id
ME 110,Workshop I,--,,"Debabrata Chakraborty, S. Kanagaraj, Manas Das, Ujjwal K.Saha, Uday S. Dixit","chakra,kanagaraj,manasdas,saha,uday"
ME 101,Engineering Mechanics,A,,"Atanu Banerjee, Santosha K. Dwivedy, Pankaj Biswas","atanub,dwivedy,pankaj.biswas"
MA 733,Spectral Perturbation Theory for Matrices and Matrix Pencils,C1,,Shreemayee Bora,shbora
MA 726,Number Theory,F,,Rupam Barman,rupam
MA 699,Project,--,,Arup Chattopadhyay,arupchatt
MA 683,Probability Theory,C,,Sriparna Bandopadhyay,sriparna
MA 681,Applied Stochastic Processes,D1,,Chandan Pal,cpal
MA 668,Algorithmic and High Frequency Trading,D,5003,Siddhartha Pratim Chakrabarty,pratim
MA 664,Theory and Applications of Sobolev Spaces,G1,,Sweta Tiwari,swetatiwari
MA 662,Differential Equations,C1,,Swaroop Nandan Bora,swaroop
MA 654,Advanced Data Structures and Algorithms,E1,,Gautam K. Das,gkd
MA 653,Network Science,F,,Ashok Singh Sairam,ashok
MA 643,Algebraic Topology,E,,P. A. S. Sree Krishna,passkrishna
MA 642,Real Analysis A,B1,,Rajesh Srivastava,rksri
MA 641,Operator Theory in Hilbert Spaces,F1,,Arup Chattopadhyay,arupchatt
MA 625,Linear Algebra-I,A1,,Sameer Kamal,skamal
MA 619,Data Structures Lab,--,,Gautam K. Das,gkd
MA 601,Graphs and Matrices,G,,Bikash Bhattacharjya,b.bikash
MA 594,Statistical Decision Theory,D,,Ayon Ganguly,aganguly
MA 592,Mathematical Finance,D1,,Subhamay Saha,saha.subhamay
MA 591,Optimization Techniques,B,,Sukanta Pati,pati
MA 590,Probability Theory,A,,Ayon Ganguly,aganguly
MA 588,R Programming Lab,--,,Arabin Kumar Dey,arabin
MA 573,Numerics of Partial Differential Equations,B1,,Natesan Srinivasan,natesan
MA 571,Numerical Linear Algebra,C1,,Shreemayee Bora,shbora
MA 550,Measure Theory,G1,,Bhaba Kumar Sarma,bks
MA 547,Complex Analysis,G,,Anjan K. Chakrabarty,anjankc
MA 542,Differential Equations,D,,Durga Charan Dalal,durga
MA 519,Complexity Theory,A1,,K. V. Krishna,kvk
MA 512,Data Structures and Algorithms,C,,Kalpesh Kapoor,kalpesh
MA 506,Number Theory and Cryptography,F,,Anupam Saikia,a.saikia
MA 499,Project II,--,,Chandan Pal,cpal
MA 374,Financial Engineering Laboratory,--,,N. Selvaraju,nselvaraju
MA 373,Financial Engineering II,D1,,N. Selvaraju,nselvaraju
MA 351,Theory of Computation,A1,,Sagarmoy Dutta,sagarmoy
MA 324,Statistical Inference and Multivariate Analysis,B1,,Palash Ghosh,palash.ghosh
MA 322,Scientific Computing,C1,,Satyajit Pramanik,satyajitp
MA 312M,Modern Algebra,G1,,Vinay Wagh,vinay.wagh
MA 271,Financial Engineering I,E,,Arabin Kumar Dey,arabin
MA 252,Design and Analysis of Algorithms,B,,H. Ramesh,ramesh_h
MA 224,Real Analysis,A,,Pratyoosh Kumar,pratyoosh
MA 212M,Mathematical Statistics,F,,K. V. Srikanth,kvsrikanth
MA 102,Mathematics - 2,--,,"Rafikul Alam, Rajen Kumar Sinha, M. Guru Prem Prasad,Bhupen Deka","rafik,rajen,mgpp,bdeka"
MA 002,Preparatory Mathematics II,--,,Jitendriya Swain,jitumath
IK 601,Elements of Indian Knowledge Systems,E1,,T. V. Bharat,tvb
IFST 020,Joint Degree Dissertation,--,,Chandan Das,cdas
IFST 018,Joint Degree Dissertation,--,,Chandan Das,cdas
HT 603,Advanced Immunology,A,,Subrata Pramanik,subrata.pramanik
HT 602,Regulatory Affairs of Biomedical Devices,G,,"Chandan Mukherjee, Krishna Pada Bhabak","cmukherjee,kbhabak"
HT 601,"Medical Diagnostic Devices, BioMEMS, and Biosensors",C,,"Raghvendra Gupta, Rajiv K. Kar","guptar,rajivkar"
HT 508,Product Design and Prototyping Laboratory,--,,"Harshal B. Nemade, Gooh Pattader Partho Sarathi, Rajiv K. Kar,Subrata Pramanik","harshal,psgp,rajivkar,subrata.pramanik"
HT 507,Diagnostics & Devices Laboratory,--,,"Akshai Kumar A. S, Dipankar Bandyopadhyay, Gooh PattaderPartho Sarathi, Rajiv K. Kar, Subrata Pramanik, Urmi RavindraSalve, Tapas K Mandal","akshaikumar,dipban,psgp,rajivkar,subrata.pramanik,urmi.salve,tapasche"
HT 506,Biotechniques and Bioinstrumentation Laboratory,--,,"Harshal B. Nemade, Gooh Pattader Partho Sarathi, Rajiv K. Kar,Subrata Pramanik","harshal,psgp,rajivkar,subrata.pramanik"
HS 784,Acoustic Analyses of Tone Languages,E1,,Priyankoo Sarmah,priyankoo
HS 774,Development Planning and Official Statistics in India,--,,Rajshree Bedamatta,rajshree
HS 754,Dynamic Methods in Economics,D1,,Bodhisattva Sengupta,bsengupta
HS 749,Issues in Tone Languages,C1,,Priyankoo Sarmah,priyankoo
HS 745,Phonological Acquisition,B1,,Shakuntala Mahanta,smahanta
HS 737,Cognitive Linguistics: Theories and Methods,A1,,Bidisha Som,bidisha
HS 734,Perspectives in Linguistics,E,,Bidisha Som,bidisha
HS 727,Issues in Historical Research,D,,Vipul Dutta,vipul.dutta
HS 703,Topics in Economics,C,,Rajshree Bedamatta,rajshree
HS 702,Contemporary studies in Philosophy,F1,,Abhishek Kashyap,abhishek.kashyap
HS 699,Dissertation,--,,Vasundhara Jairath,vasundharaj
HS 603,International Trade and Development,C1,,"Amarjyoti Mahanta, Debarshi Das","amarjyoti,debarshidas"
HS 563,Early Womens Writing in English,D,,Debapriya Basu,debapriya.basu
HS 561,Historical Studies,G,,Vipul Dutta,vipul.dutta
HS 559,Indian Literary Theory,G1,,Liza Das,liza
HS 556,Introduction to Literary Studies,C,,"Debapriya Basu, Kiran Keshavamurthy, Liza Das, RohiniMokashi-Punekar","debapriya.basu,kirank,liza,rohini"
HS 553,History and Philosophy of Science,E1,,Abhishek Kashyap,abhishek.kashyap
HS 551,Foundational Linguistics,E1,,Shakuntala Mahanta,smahanta
HS 525,India's Development: Issues and Debates,D1,,Vasundhara Jairath,vasundharaj
HS 524,Qualitative Research Methods in Social Sciences,A1,,John Thomas,johnthomas
HS 523,Economic Development: Theory and Practice,F,,Mrinal Kanti Dutta,mkdutta
HS 517,Comparative Politics of Developing Countries,D,,Pahi Saikia,pahi
HS 513,Transnationalism and Migration: Issues of Development,A1,,Sukanya Sharma,sukanya
HS 506,Interrogating Modernity,B,,Sambit Mallick,sambit
HS 503,Sociology of Development,A,,Sambit Mallick,sambit
HS 320M,Literature and Film: The Word and the Image,G1,,Rohini Mokashi-Punekar,rohini
HS 252,"Pandemics, Health and Society",G1,,Daksha Parmar,daksha.p
HS 251,Social Choice and Welfare,G1,,Amarjyoti Mahanta,amarjyoti
HS 248,Indian Literary Theory,G1,,Liza Das,liza
HS 244,Indian Business History,G1,,Vipul Dutta,vipul.dutta
HS 242,Transboundary Waters: Conflict and Cooperation,G1,,Anamika Barua,abarua
HS 239,Economics of Uncertainty and Information,G1,,Bodhisattva Sengupta,bsengupta
HS 235,Writing Systems of the World,G1,,Priyankoo Sarmah,priyankoo
HS 233,History of Contemporary India,G1,,Arupjyoti Saikia,arupjyoti
HS 232M,Linguistic Analysis,F,,Shakuntala Mahanta,smahanta
HS 222,Philosophy of Science,G1,,Abhishek Kashyap,abhishek.kashyap
HS 216,Investigating Justice in Detective Fiction,G1,,Debapriya Basu,debapriya.basu
HS 207,Concepts and Ideologies in Social Life,G1,,Ngamjahao Kipgen,kipgen
HS 161,The Novel and Magic Realism,G,,Kiran Keshavamurthy,kirank
HS 156,Economics of Health and Education,G,,Rajshree Bedamatta,rajshree
HS 155,Introductory Mathematical Economics,G,,Debarshi Das,debarshidas
HS 138,Psychology of Well Being,G,,Dilwar Hussain,dhussain
HS 136,Introduction to Indian Constitution and Political Processes,G,,Mithilesh Kumar Jha,jhamk21
HS 135,Topics in Bilingualism,G,,Bidisha Som,bidisha
HS 134,Introduction to Archaeology,G,,Sukanya Sharma,sukanya
HS 128,Introduction to Psychology,G,,Naveen Kashyap,nkashyap
HS 125,Introductory Macroeconomics,G,,Agnirup Sarkar,agnirupsarkar
HS 116,Sociology of India: Conformities and Contradictions,G,,Sawmya Ray,sawmyaray
EN 699,Project 3,--,,E S N Raju P,pesnraju88
EN 697,Project 1,D,,"Harsh Chaturvedi, E S N Raju P, Ranjith Thangavel","harshc,pesnraju88,ranjith.t"
EN 674,"Energy Economics, Planning and Management",C1,,"E S N Raju P, Ranjith Thangavel","pesnraju88,ranjith.t"
EN 671,Solar Energy Conversion Technology,F,,Pankaj Kalita,pankajk
EN 667,Advanced Energy Systems,E,,Farrukh Khalid,f.khalid
EM 599,Project phase 3,--,,Karuna Kalita,karuna.kalita
EE 721,Advanced Topics in Signal Processing,C1,,Sudarshan Mukherjee,smukherjee
EE 699,MTP Phase II,--,,Secretary DPPC EEE,dppceee
EE 676,Advanced Power System Monitoring,B1,,Sreenath J G,sreenathjg
EE 665,Power Electronic Systems for Electric Vehicles,A1,,Chandan Kumar,chandank
EE 647,Microsensors and Nanosensors,D1,,Ravindra Kumar Jha,jha
EE 643,Silicon Photonics,B1,,Ramesh Kumar Sonkar,sonkar
EE 640,Modeling & Simulation of Advanced Nanoscale Devices,A1,,Ankush Bag,ankushbag
EE 633,Error Control Codes,A1,,Smarajit Das,dass
EE 632,Advanced Topics in Communication Systems,B1,,Sarvendranath Rimalapudi,sarvendranath
EE 626,Pattern Recognition and Machine Learning,D1,,Manoj BR,manojbr
EE 624,Speech Technology,A1,,Rohit Sinha,rsinha
EE 622,Biomedical Signal Processing,C1,,Samarendra Dandapat,samaren
EE 620,Image Processing,F1,,M. K. Bhuyan,mkb
EE 615,Advanced Photovoltics,C1,,Arun Tej Mallajosyula,aruntej
EE 613,Radio Frequency Integrated Circuits,F1,,Mahima Arrawatia,mahimaarrawatia
EE 602,Adaptive and Learning-based Control,C1,,Indrani Kar,indranik
EE 596H,Optimization Techniques,E,,Kuntal Deka,kuntaldeka
EE 595H,Stochastic Models,E,,Kuntal Deka,kuntaldeka
EE 592,Detection and Estimation Theory,G,,Kalpana Dhaka,kalpana.dhaka
EE 580,Electrical Machines and Drive Systems,F,,A. Ravindranath,ravindranath
EE 572,Power Engineering Laboratory,--,,Sanjib Ganguly,sganguly
EE 562,Power Electronics Applications in Power Systems,E,,Sanjib Ganguly,sganguly
EE 557,Optimization,G,,Prabir Barooah,pbarooah
EE 555,Automation Laboratory,--,,Parijat Bhowmick,parijat.bhowmick
EE 554,Nonlinear Systems and Control,F,,Somanath Majhi,smajhi
EE 553,Optimal Control,E,,Srinivasan Krishnaswamy,srinikris
EE 549,Photonics Integrated Circuits,F,,Debabrata Sikdar,deb.sikdar
EE 548,RF Laboratory,--,,Rakhesh Singh Kshetrimayum,krs
EE 540,Advance Electromagnetic Theory and Antennas,G,,Rakhesh Singh Kshetrimayum,krs
EE 535,Data Communication Network,F,,Sonali Chouhan,sonali
EE 534,Communication System Design Lab,--,,Sonali Chouhan,sonali
EE 533,Wireless Communications,E,,Salil Kashyap,salilkashyap
EE 527,Machine Learning Laboratory,--,,Prithwijit Guha,pguha
EE 526,Machine Learning,G,,Prithwijit Guha,pguha
EE 525,Advanced Topics in Machine Learning,F,,Prithwijit Guha,pguha
EE 522,Statistical Signal Processing,E,,Kannan Karthik,k.karthik
EE 521,Digital Signal Processing Lab,--,,Shaik Rafi Ahamed,rafiahamed
EE 518,VLSI Lab-III,--,,Gaurav Trivedi,trivedi
EE 517,VLSI Lab-II,--,,Tanmay Dutta,tanmay.dutta
EE 516,VLSI DSP,G,,Shaik Rafi Ahamed,rafiahamed
EE 515,VLSI System Design,F,,Gaurav Trivedi,trivedi
EE 512,Analog IC Design,E,,Tanmay Dutta,tanmay.dutta
EE 499,B. Tech Project-IV,--,,Secretary DUPC EEE,dupceee
EE 399,BTP II (New Curriculum),--,,Secretary DUPC EEE,dupceee
EE 390,Data structure and algorithms,E1,,Anirban Dasgupta,anirban.dasgupta
EE 381,Electrical Machines Lab,--,,Sreenath J G,sreenathjg
EE 371,Advanced Electrical Engg Lab,--,,Praveen Tripathy,ptri
EE 370,Electrical Power Systems,B1,,Sisir Kumar Nayak,sknayak
EE 360,Power Electronics,A1,,Praveen Tripathy,ptri
EE 352,Advanced Control System,C1,,Parijat Bhowmick,parijat.bhowmick
EE 336,Modelling and Simulation of Stochastic Systems,C1,,Ribhu Chopra,ribhufec
EE 335,Information Theory & Coding,D1,,A. Rajesh,rajesha
EE 334,Computer networks,B1,,Arun B Aloshious,aloshious
EE 333,Communication and DSP Laboratory,--,,Kalpana Dhaka,kalpana.dhaka
EE 332,Digital Communication,A1,,Tony Jacob,tonyj
EE 322M,Signal Processing,G1,,Manish Bhatt,manishb
EE 313,Microelectronics Laboratory,--,,Arun Tej Mallajosyula,aruntej
EE 253,Instrumentation Laboratory,--,,Harshal B. Nemade,harshal
EE 252,Measurement and Instrumentation,C,,Rishikesh Dilip Kulkarni,rishi.k
EE 250,Control Systems,D,,Chayan Bhawal,bhawal
EE 230,Probability and Random Processes,B,,Hanumant Singh Shekhawat,h.s.shekhawat
EE 213M,Digital Circuits,F,,Ashwini Sawant,ashwinisawant
EE 207,Analog Circuits Laboratory,--,,Mahima Arrawatia,mahimaarrawatia
EE 206,Analog Circuits,A,,Roy Paily Palathinkal,roypaily
EE 102,Basic Electronics Lab,--,,Shabari Nath,snath
DS 699,MTP Project-II,--,,Ayon Ganguly,aganguly
DM 699,Project (Phase 3),--,,,cppcdm
DM 697,Project Phase 1,--,,,cppcdm
DM 515,Rehabilitation and Retrofitting of RC Structures,D,,Arunasis Chakraborty,arunasis
DM 514,Financing for Disaster Risk Reduction (DRR),C,,Rajshree Bedamatta,rajshree
DM 504,Research methodology and field visit,B,,"Budhaditya Hazra, Sudip Mitra","budhaditya.hazra,sudipmitra"
DM 503,Hazards monitoring and prediction,A,,"Arup K. Sarma, Arindam Dey, Rishikesh Bharti, Sandip Das","aks,arindam.dey,rbharti,sandip.das"
DD 710,Research-based Project,--,,"SANTOSH NAGNATH JAGTAP, Shakuntala Acharya","santosh.jagtap,shakuntala.a"
DD 709,Design-based Project,--,,A. K. Das,dasak
DD 705,Design Research Methods,C,,Debayan Dhar,debayan
DD 607,Creativity and Innovation,B,,Mriganka Madhukailya,mriganka
DD 606,Product Detailing,F,,A. K. Das,dasak
DD 605,Thesis Project (Phase II),--,,Sougata Karmakar,karmakar.sougata
DD 557,Fundamentals of Sensors and their Applications,B,,Ravindra Kumar Jha,jha
DD 555,IoT Enabled Smart Grids,A,,Sreenath J G,sreenathjg
DD 554,Pattern Recognition and Machine Learning,G,,"Manoj BR, Prabin Kumar Bora","manojbr,prabin"
DD 552,Design of Embedded Systems,G,,Anirban Dasgupta,anirban.dasgupta
DD 549,Systems thinking,C1,,"SANTOSH NAGNATH JAGTAP, Shakuntala Acharya","santosh.jagtap,shakuntala.a"
DD 548,Embodiment Design,E,,Pankaj Upadhyay,pankaj.upadhyay
DD 547,Design for Environmental Sustainability,D,,Sharmistha Banerjee,sharmistha
DD 546,Product Form and Structures,--,,Supradip Das,supradip.das
