Tutorial,Location
T1,1002
T2,1003
T3,1005
T4,1006
T5,1G2
T6,1201
T7,1202
T8,1203
T9,1204
T10,1205
T11,2101
T12,2102
T13,2201
T14,2202
T15,2203
T16,2204
T17,L1
T18,L2
T19,L3
T20,L4
T21,1102
