code,venue,roll
BM 506H,3202,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 236124102"
BM 507H,1205,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029"
BM 508H,1203,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 236124101, 236124104, 236124105, 246124001, 246124002, 246124005, 246124007"
BM 509H,1205,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 236124101, 236124105, 246124005, 246124007"
BM 510H,L4,"244024025, 244024001, 244024002, 244024003, 244024004, 244024005, 244024006, 244024007, 244024008, 244024009, 244024010, 244024011, 244024012, 244024013, 244024014, 244024015, 244024016, 244024017, 244024018, 244024019, 244024020, 244024021, 244024022, 244024023, 244024024, 244024027, 244024028, 244024029, 246124002, 246124005"
BM 611H,3202,"234024001, 234024002, 234024003, 234024005, 234024007, 234024009, 234024010, 234024012, 234024014, 234024016, 234024017, 234024018, 234024019, 234024021, 234024022, 234024024, 246124001"
BM 623H,3202,"234024001, 234024004, 234024005, 234024007, 234024008, 234024010, 234024011, 234024013, 234024018, 234024020, 234024022, 246124007"
BM 642H,3202,"234024001, 234024002, 234024003, 234024004, 234024005, 234024007, 234024008, 234024009, 234024010, 234024011, 234024012, 234024013, 234024014, 234024016, 234024017, 234024018, 234024019, 234024020, 234024021, 234024022, 234024024"
BM 670H,2203,"234024002, 234024003, 234024004, 234024008, 234024009, 234024011, 234024012, 234024013, 234024014, 234024016, 234024017, 234024019, 234024020, 234024021, 234024024"
BT 201,2201,"230106001, 230106002, 230106003, 230106005, 230106006, 230106007, 230106008, 230106009, 230106010, 230106011, 230106012, 230106014, 230106015, 230106017, 230106018, 230106019, 230106020, 230106021, 230106022, 230106023, 230106024, 230106026, 230106027, 230106028, 230106029, 230106030, 230106031, 230106032, 230106034, 230106035, 230106036, 230106038, 230106040, 230106041, 230106042, 230106043, 230106044, 230106045"
