roll,code
210104001,HS 211
210104002,HS 213
210104003,HS 213
210104004,HS 236
210104005,HS 214
210104006,HS 231
210104007,HS 213
210104008,HS 217
210104009,HS 236
210104010,HS 236
210104011,HS 217
210104012,HS 214
210104015,HS 236
210104016,HS 214
210104017,HS 231
210104018,HS 239
210104019,HS 236
210104020,HS 236
210104021,HS 236
210104022,HS 236
210104024,HS 236
210104025,HS 217
210104026,HS 239
210104027,HS 236
210104028,HS 217
210104029,HS 217
210104030,HS 239
210104031,HS 217
210104032,HS 231
210104033,HS 231
210104034,HS 236
210104035,HS 236
210104036,HS 236
210104037,HS 217
210104038,HS 231
210104039,HS 231
210104040,HS 211
210104042,HS 211
210104043,HS 236
210104044,HS 214
210104045,HS 213
210104047,HS 231
210104048,HS 231
210104049,HS 213
210104050,HS 231
210104052,HS 231
210104053,HS 236
210104054,HS 231
210104055,HS 217
210104056,HS 239
210104057,HS 211
210104059,HS 231
210104060,HS 231
210104061,HS 239
210104062,HS 236
210104063,HS 231
210104064,HS 239
210104065,HS 231
210104066,HS 211
210104067,HS 213
210104068,HS 217
210104070,HS 231
210104071,HS 231
210104072,HS 211
210104074,HS 211
210104075,HS 231
210104077,HS 211
210104078,HS 214
210104080,HS 236
210104081,HS 231
210104082,HS 214
210104083,HS 239
210104084,HS 231
210104085,HS 231
210104087,HS 239
,
210104088,HS 236
210104089,HS 236
210104090,HS 231
210104091,HS 236
210104092,HS 231
210104093,HS 211
210104094,HS 231
210104096,HS 236
210104097,HS 231
210104098,HS 236
210104099,HS 236
210104101,HS 236
210104102,HS 236
210104103,HS 239
210104104,HS 211
210104105,HS 231
210104106,HS 231
210104107,HS 231
210104108,HS 231
210104109,HS 211
210104110,HS 214
210104112,HS 236
210104113,HS 239
210104114,HS 231
210104115,HS 231
210104116,HS 236
210104117,HS 211
210104118,HS 239
210106001,HS 211
210106002,HS 217
210106003,HS 236
210106004,HS 214
210106005,HS 236
210106006,HS 236
210106007,HS 231
210106009,HS 211
210106010,HS 211
210106012,HS 231
210106014,HS 217
210106016,HS 211
210106017,HS 213
210106018,HS 214
210106020,HS 217
210106021,HS 239
210106022,HS 236
210106023,HS 214
210106024,HS 211
210106025,HS 236
210106026,HS 217
210106027,HS 239
210106028,HS 239
210106029,HS 239
210106030,HS 213
210106031,HS 236
210106032,HS 213
210106033,HS 211
210106034,HS 231
210106035,HS 211
210106037,HS 236
210106038,HS 231
210106040,HS 214
210106041,HS 239
210106042,HS 217
210106043,HS 211
210106044,HS 211
210106045,HS 239
210106046,HS 211
210106048,HS 214
210106049,HS 217
210106050,HS 214
210106051,HS 236
210106052,HS 231
210106053,HS 231
210106054,HS 214
210106055,HS 239
210106056,HS 214
210106057,HS 231
210106059,HS 217
210106060,HS 217
210106062,HS 231
210106063,HS 213
210106065,HS 231
210106066,HS 217
210106067,HS 214
210106068,HS 231
210106069,HS 214
210106070,HS 236
210106071,HS 239
210106072,HS 239
210106073,HS 239
210106074,HS 213
210106075,HS 239
210106076,HS 214
210106077,HS 211
210106078,HS 214
210106079,HS 236
210106081,HS 236
210106082,HS 236
210106083,HS 239
210107001,HS 213
210107003,HS 217
210107004,HS 213
210107005,HS 217
210107006,HS 213
210107007,HS 231
210107008,HS 217
210107009,HS 239
210107010,HS 231
210107011,HS 213
210107012,HS 217
210107013,HS 213
210107016,HS 214
210107017,HS 213
210107018,HS 211
210107019,HS 231
210107020,HS 213
210107021,HS 213
210107023,HS 213
210107024,HS 214
210107025,HS 214
210107026,HS 231
210107028,HS 217
210107029,HS 213
210107030,HS 214
210107031,HS 231
210107033,HS 217
210107034,HS 217
210107035,HS 211
210107036,HS 213
210107037,HS 211
210107039,HS 214
