Day,8:00 - 8:55 AM,9:00 - 9:55 AM,10:00 - 10:55 AM,11:00 - 11:55 AM,12:00 - 12:55 PM ,1:00 - 1:55 PM,2:00 - 2:55 PM,3:00 - 3:55 PM,4:00 - 4:55 PM,5:00 - 5:55 PM
Monday,A,B,C,D,F,F1,D1,C1,B1,A1
Tuesday,E,A,B,C,F,F1,C1,B1,A1,E1
Wednesday,D,E,A,B,G,G1,B1,A1,E1,D1
Thursday,C,D,E,A,G,G1,A1,E1,D1,C1
Friday,B,C,D,F,G,G1,F1,D1,C1,B1
