0,1,2,3
T1,1103,50,
T2,1201,50,
T3,1202,50,
T4,1205,50,
T5,2101,50,
T6,2201,50,
T7,2202,50,
T8,2203,50,
T9,2204,50,
T10,5001,50,
T11,5002,49,
T12,5003,49,
T13,5101,49,
T14,5104,49,
T15,5106,49,
T16,5205,49,
T17,5206,49,
T18,5G2,49,
T19,L2,49,
T20,L4,16 + Backlog students,16 + Backlog students
T21,1102,56,BDes students
