code,venue,roll
BT306,1201,"230106001, 230106002, 230106003, 230106005, 230106006, 230106007, 230106008, 230106009, 230106010, 230106011, 230106012, 230106014, 230106015, 230106017, 230106018, 230106019, 230106020, 230106021, 230106022, 230106023, 230106024, 230106026, 230106027, 230106028, 230106029, 230106030, 230106031"
BT306,1202,"230106032, 230106034, 230106035, 230106036, 230106038, 230106040, 230106041, 230106042, 230106043, 230106044, 230106045, 230106046, 230106047, 230106048, 230106049, 230106050, 230106051, 230106052, 230106053, 230106055, 230106056, 230106058, 230106059, 230106060, 230106061, 230106063, 230106064"
BT306,1203,"230106065, 230106067, 230106068, 230106069, 230106070, 230106071, 230106073, 230106074, 230106075, 230106076, 230106077, 230106078, 230106079, 230106081, 230106082, 230106083, 230106084, 200106077, 210106016, 220106023, 220106012, 220106029, 220106040, 220106052"
BT307,1201,"230106001, 230106002, 230106003, 230106005, 230106006, 230106007, 230106008, 230106009, 230106010, 230106011, 230106012, 230106014, 230106015, 230106017, 230106018, 230106019, 230106020, 230106021, 230106022, 230106023, 230106024, 230106026, 230106027, 230106028, 230106029, 230106030"
BT307,1202,"230106031, 230106032, 230106034, 230106035, 230106036, 230106038, 230106040, 230106041, 230106042, 230106043, 230106044, 230106045, 230106046, 230106047, 230106048, 230106049, 230106050, 230106051, 230106052, 230106053, 230106055, 230106056, 230106058, 230106059, 230106060, 230106061"
BT307,1204,"230106063, 230106065, 230106067, 230106068, 230106069, 230106070, 230106071, 230106073, 230106074, 230106075, 230106076, 230106077, 230106078, 230106079, 230106081, 230106082, 230106083, 230106084, 200106077, 220106049, 220106012, 220106029, 220106032, 220106044"
BT308,2201,"230106001, 230106002, 230106003, 230106005, 230106006, 230106007, 230106008, 230106009, 230106010, 230106011, 230106012, 230106014, 230106015, 230106017, 230106018, 230106019, 230106020, 230106021, 230106022, 230106023, 230106024, 230106026, 230106027, 230106028, 230106029, 230106030, 230106031, 230106032, 230106034, 230106035, 230106036, 230106038, 230106040, 230106041, 230106042, 230106043, 230106044"
BT308,2203,"230106045, 230106046, 230106047, 230106048, 230106049, 230106050, 230106051, 230106052, 230106053, 230106055, 230106056, 230106058, 230106059, 230106060, 230106061, 230106063, 230106065, 230106067, 230106068, 230106069, 230106070, 230106071, 230106073, 230106074, 230106075, 230106076, 230106077, 230106078, 230106079, 230106081, 230106082, 230106083, 230106084, 200106077, 220106049"
BT404,1201,"220106001, 220106004, 220106005, 220106006, 220106007, 220106008, 220106009, 220106010, 220106012, 220106013, 220106014, 220106015, 220106016, 220106017, 220106018, 220106019, 220106020, 220106022, 220106023, 220106024, 220106025, 220106026, 220106028, 220106029, 220106030, 220106031, 220106032, 220106033"
BT404,1202,"220106034, 220106035, 220106036, 220106039, 220106040, 220106041, 220106042, 220106043, 220106044, 220106045, 220106046, 220106047, 220106048, 220106050, 220106051, 220106052, 220106053, 220106054, 220106056, 220106057, 220106059, 220106060, 220106061, 220106062, 220106063, 220106064, 220106065, 220106066"
